Pakistan|PK|Lahore|31.52,74.36
Argentina|AR|San Luis|-33.30,-66.34
Argentina|AR|Rosario|-32.94,-60.65
Argentina|AR|Rafaela|-31.25,-61.49
Argentina|AR|Mendoza|-32.89,-68.85
Argentina|AR|Bahia Blanca|-38.72,-62.27
Poland|PL|Rybnik|50.10,18.55
Poland|PL|Warsaw|52.23,21.01
Poland|PL|Jaszowiec|49.70,18.84
Poland|PL|Kielce|50.87,20.63
Poland|PL|Szczyrk|49.72,19.02
Poland|PL|Ossa|51.81,20.39
Brazil|BR|Campinas|-22.91,-47.06
Brazil|BR|Brasilia|-15.79,-47.88
Brazil|BR|Joinville|-26.30,-48.85
Brazil|BR|Rio de Janeiro|-22.91,-43.17
Brazil|BR|Caxias do Sul|-29.16,-51.18
Brazil|BR|Curitibia|-25.42,-49.27
Brazil|BR|Sao Paulo|-23.55,-46.63
Brazil|BR|Porto de Galinhas|-8.48,-35.00
Brazil|BR|Sao Jose dos Campos|-23.22,-45.90
Brazil|BR|Florianopolis|-27.59,-48.55
France|FR|Paris|48.86,2.35
France|FR|Rennes|48.12,-1.68
France|FR|Strasbourg|48.57,7.75
France|FR|Lyon|45.76,4.84
France|FR|Pau|43.30,-0.37
France|FR|Provence-Alpes|43.94,6.07
France|FR|Toulouse|43.60,1.44
Italy|IT|Firenze|43.77,11.26
Italy|IT|Florence|43.77,11.26
Italy|IT|Rimini|44.07,12.57
Italy|IT|Naples|40.85,14.27
Italy|IT|Trento|46.07,11.12
Netherlands|NL|Amsterdam|52.37,4.90
Netherlands|NL|Arnhem|51.99,5.90
Netherlands|NL|Groningen|53.22,6.57
Switzerland|CH|Geneva|46.20,6.14
Switzerland|CH|Zurich|47.38,8.54
Belgium|BE|Charleroi|50.41,4.44
Belgium|BE|Brussels|50.85,4.35
Hungary|HU|Budapest|47.50,19.04
Romania|RO|Bucharest|44.43,26.10
United States|US|Washington, DC|38.91,-77.04
United States|US|Addison|32.96,-96.83
United States|US|Alexandria|38.80,-77.04
United States|US|Austin|30.27,-97.74
United States|US|Chicago|41.88,-87.63
United States|US|Coll Station|30.63,-96.33
United States|US|Columbus|39.96,-83.00
United States|US|Chapel Hill|35.91,-79.06
United States|US|Dallas|32.78,-96.80
United States|US|Atlanta|33.75,-84.39
United States|US|Lawrence, KS|38.97,-95.24
United States|US|New Orleans|29.95,-90.07
United States|US|New York|40.71,-74.01
United States|US|San Francisco|37.77,-122.42
United States|US|San Jose|37.34,-121.89
United States|US|Santa Clara|37.35,-121.96
United States|US|Mountain View|37.39,-122.08
United States|US|Philadelphia|39.95,-75.17
United States|US|Seattle|47.61,-122.33
United States|US|Spokane|47.68,-117.43
United States|US|San Diego|32.72,-117.16
United States|US|Pasadena|34.15,-118.14
United States|US|Portland|45.52,-122.68
United States|US|Cleveland|41.50,-81.69
United States|US|Boston|42.36,-71.06
United States|US|Research Triangle|35.90,-78.86
United Kingdom|UK|Edinburgh|55.95,-3.19
United Kingdom|UK|Birmingham|52.49,-1.89
United Kingdom|UK|Bristol|51.45,-2.59
United Kingdom|UK|Cambridge|52.21,0.12
United Kingdom|UK|Cardiff|51.48,-3.18
United Kingdom|UK|Coventry|52.41,-1.52
United Kingdom|UK|London|51.51,-0.13
United Kingdom|UK|Oxford|51.75,-1.26
Luxembourg|LU|Luxembourg City|49.61,6.13
